Date,Ticker,Weighted compound sentiment score
2011-05-13,NVDA,0.5033
2011-07-21,NVDA,-0.2589
2011-07-25,NVDA,-0.343
2011-08-01,NVDA,-0.7096
2011-08-11,NVDA,0.6496
2011-08-12,NVDA,-0.5055
2011-08-23,NVDA,0.5784
2011-09-06,NVDA,-0.0926
2011-09-07,NVDA,0.8522
2011-10-04,NVDA,-0.5816
2011-10-20,NVDA,0.5574
2011-11-01,NVDA,-0.868
2011-11-10,NVDA,-0.0807
2011-11-11,NVDA,0.7202000000000001
2011-11-21,NVDA,0.8180999999999999
2011-11-22,NVDA,0.7578999999999999
2011-11-30,NVDA,0.2023
2012-01-05,NVDA,-0.6124
2012-01-24,NVDA,-0.8327000000000001
2012-01-25,NVDA,0.7506
2012-02-15,NVDA,0.6147
2012-02-16,NVDA,0.4873
2012-03-28,NVDA,0.7681
2012-05-07,NVDA,0.9093
2012-05-11,NVDA,0.6305447496896979
2012-06-11,NVDA,0.34
2012-06-19,NVDA,-0.6597
2012-08-09,NVDA,0.6147
2012-11-09,NVDA,0.412
2013-01-07,NVDA,0.7676
2013-02-14,NVDA,0.8596
2013-04-12,NVDA,0.8807000000000001
2013-05-10,NVDA,-0.2796
2013-05-14,NVDA,0.4215
2013-06-19,NVDA,0.5579
2013-11-18,NVDA,0.0982
2014-02-12,NVDA,0.2285
2014-03-19,NVDA,0.0
2014-04-01,NVDA,0.0
2014-05-06,NVDA,-0.6597
2014-05-08,NVDA,-0.391
2014-05-19,NVDA,0.4596
2014-08-07,NVDA,0.2285
2014-08-08,NVDA,0.659
2015-02-11,NVDA,-0.2711
2015-03-23,NVDA,-0.2732
2015-05-08,NVDA,-0.765
2015-05-27,NVDA,0.2732
2015-08-06,NVDA,-0.19550256222547582
2015-08-26,NVDA,-0.10269999999999999
2015-10-30,NVDA,0.0
2015-11-05,NVDA,-0.2711
2015-11-06,NVDA,0.7351000000000001
2016-01-14,NVDA,-0.1779
2016-02-17,NVDA,-0.2711
2016-05-12,NVDA,0.6653
2016-05-13,NVDA,0.7622
2016-06-13,NVDA,0.0
2016-07-26,NVDA,0.0
2016-08-11,NVDA,0.4098
2016-08-12,NVDA,0.6808
2016-10-24,NVDA,0.4215
2016-11-07,NVDA,0.0
2016-11-10,NVDA,-0.4539
2016-11-11,NVDA,0.03100000000000005
2016-11-14,NVDA,0.7844999999999999
2016-11-16,NVDA,0.7478999999999999
2016-12-01,NVDA,-0.2732
2016-12-12,NVDA,0.6631
2016-12-14,NVDA,0.4767
2016-12-20,NVDA,0.7401
